model,en,hu,ro,ru
Qwen/Qwen2.5-7B-Instruct-Turbo,6.25,5.75,7.142857142857143,6.678571428571429
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,6.0,5.857142857142857,5.785714285714286,6.035714285714286
arcee-ai/virtuoso-large,6.785714285714286,6.857142857142857,6.357142857142857,6.642857142857143
deepseek-ai/DeepSeek-R1,1.6428571428571428,2.4285714285714284,1.3214285714285714,1.5714285714285714
deepseek-ai/DeepSeek-V3.1,7.321428571428571,5.75,7.214285714285714,7.392857142857143
google/gemma-3n-E4B-it,7.607142857142857,6.607142857142857,7.678571428571429,7.214285714285714
lgai/exaone-3-5-32b-instruct,7.142857142857143,6.607142857142857,7.071428571428571,7.321428571428571
meta-llama/Llama-3.3-70B-Instruct-Turbo,8.071428571428571,7.178571428571429,7.107142857142857,7.571428571428571
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,6.607142857142857,6.571428571428571,6.5,7.285714285714286
meta-llama/Llama-4-Scout-17B-16E-Instruct,6.285714285714286,5.964285714285714,5.75,6.142857142857143
mistralai/Mistral-Small-24B-Instruct-2501,5.892857142857143,5.714285714285714,5.964285714285714,5.821428571428571
moonshotai/Kimi-K2-Instruct,6.821428571428571,6.928571428571429,6.714285714285714,7.214285714285714
openai/gpt-oss-20b,5.5,4.892857142857143,6.0,5.714285714285714
